IDFeature	txtCountry	refIDSite	txtSite	txtType_of_Feature	txtFeature	txtCulture	txtSex	txtAge	txtCommentary	dblLatitude	dblLongitude	txtReference
593	Hungary	265	Kompolt-Kistér	Grave	3	Latest phase of the Hungarian LPC	undetermined	undetermined		47.741	20.253	Bánffy et al. 1999, 117, plate 12.19,22-23
594	Hungary	265	Kompolt-Kistér	Grave	1	Latest phase of the Hungarian LPC	undetermined	undetermined		47.741	20.253	Bánffy et al. 1999, 124, plate 12.20-21, 24
575	Hungary	254	Megyaszó-Csákó	Grave	1	Bükk III	undetermined	Adult		48.185881	21.04935	Kalicz and Makkay, 1977, 75; Korek 1957, 18
583	Hungary	263	Mezőkeresztes-M3, Site No. 10	Grave	25	Bükk	undetermined	Child		47.830361	20.689331	Wolf and Simonyi 1995, Fig. 3
550	Hungary	262	Mezőkövesd-Mocsolyás	Grave	6	Alföld LPC (Szatmár Gruppe)	undetermined	Adult		47.76832	20.625568	Kalicz and Koós 2001, 47
551	Hungary	262	Mezőkövesd-Mocsolyás	Grave	8	Alföld LPC (Szatmár Gruppe)	Male	Adult		47.76832	20.625568	Kalicz and Koós 2001, 50
552	Hungary	262	Mezőkövesd-Mocsolyás	Grave	9	Alföld LPC (Szatmár Gruppe)	undetermined	Child		47.76832	20.625568	Kalicz and Koós 2001, 50
553	Hungary	262	Mezőkövesd-Mocsolyás	Grave	10	Alföld LPC (Szatmár Gruppe)	undetermined	Child		47.76832	20.625568	Kalicz and Koós 2001, 50
554	Hungary	262	Mezőkövesd-Mocsolyás	Grave	12	Alföld LPC (Szatmár Gruppe)	Female	Adult	Bead (ID 17115) was within the filling of the burial.	47.76832	20.625568	Kalicz and Koós 2001, 50
555	Hungary	262	Mezőkövesd-Mocsolyás	Grave	14	Alföld LPC (Szatmár Gruppe)	undetermined	Infant 2/Juvenile		47.76832	20.625568	Kalicz and Koós 2001, 50
556	Hungary	262	Mezőkövesd-Mocsolyás	Grave	16	Alföld LPC (Szatmár Gruppe)	Female	Adult		47.76832	20.625568	Kalicz and Koós 2001, 50
557	Hungary	262	Mezőkövesd-Mocsolyás	Grave	17	Alföld LPC (Szatmár Gruppe)	Female	Adult		47.76832	20.625568	Kalicz and Koós 2001, 50
558	Hungary	262	Mezőkövesd-Mocsolyás	Grave	21	Alföld LPC (Szatmár Gruppe)	undetermined	Adult	The Spondylus bead (ID 17144) probably comes from tomb 21, but it was found in a pit next to it.	47.76832	20.625568	Kalicz and Koós 2001, 51
559	Hungary	262	Mezőkövesd-Mocsolyás	Grave	24	Alföld LPC (Szatmár Gruppe)	undetermined	Child		47.76832	20.625568	Kalicz and Koós 2001, 51
600	Hungary	261	Mezőkövesd-Nagy-fertő	Grave	120	Szakálhát	undetermined	Infant		47.828991	20.537351	Csengeri 2004, 66 Fig.10
597	Hungary	255	Mezőzombor-Temető	Grave	48	Tiszadob-group	Male	Adult		48.151137	21.262869	Csengeri 2004, 65 Fig.2
598	Hungary	255	Mezőzombor-Temető	Grave	49	Tiszadob-group	undetermined	Infant 1		48.151137	21.262869	Csengeri 2004, 65 Fig.3
599	Hungary	255	Mezőzombor-Temető	Grave	62	Tiszadob-group	undetermined	Juvenile		48.151137	21.262869	Csengeri 2004, 65 Fig.4
668	Hungary	516	Mosonszentmiklós-Szilas	Grave	undetermined	Zseliz-Gruppe	undetermined	undetermined		47.716667	17.425	Siklósi 2004, 16; Kalicz and Szénászky 2001, 43
542	Hungary	259	Nagykálló-Strandfürdő	Grave	undetermined	Alföld LPC (Estár-Szamosgegend-Gruppe/Tiszadob-Gruppe)	undetermined	undetermined		47.878382	21.854116	Kalicz and Makkay 1977, 146; Korek 1957, 17
656	Hungary	137	Tiszabura	Grave	undetermined	Alföld LPC	undetermined	undetermined		47.45	20.466667	Siklósi 2004, 16
560	Hungary	272	Tiszaföldvár-Téglagyár	Grave	1977/25	Alföld LPC III-IV	undetermined	Adult		46.955903	20.254604	Oravecz 1998/99, 46-47 Fig. 4.1
561	Hungary	272	Tiszaföldvár-Téglagyár	Grave	1985/13a	Alföld LPC III-IV	Female	Mature		46.955903	20.254604	Oravecz 1998/99, 47-55 Fig.5.2
562	Hungary	272	Tiszaföldvár-Téglagyár	Grave	1986/42a	Alföld LPC III-IV	undetermined	Infant 2	The grave 1986/42a was disturbed by a later pit.	46.955903	20.254604	Oravecz 1998/99, 55 Fig. 6.2
564	Hungary	272	Tiszaföldvár-Téglagyár	Pit	1983/8a	Alföld LPC III-IV				46.955903	20.254604	Oravecz 1998/99, 52 Fig. 4
563	Hungary	256	Tiszalúc-Sarkadpuszta	Grave	B-13	Alföld LPC (Szatmár II)	Male	Mature		48.03675	21.062919	Oravecz 1996, 55-57
654	Hungary	258	Tiszavasvári-Deákhalmi-dűlő	Grave	9	Szakálhát	Male	Mature		47.966667	21.35	Kurucz 1994, 126
538	Italy	15	Arene Candide	Layer	26C	Ligurian Impressed Ware				44.169904	8.325364	Bernabò Brea 1956, 65, plate VII.5
539	Italy	15	Arene Candide	Layer	25G	Ligurian Impressed Ware				44.169904	8.325364	Bernabò Brea 1956, 65, plate XI.h-i
660	Italy	16	Arma dello Stefanin	undetermined	undetermined	Square Mouthed Pottery / Ligurian Impressed Ware				44.10349	8.018005	Leale Anfossi 1972
495	Italy	12	Casalecchio di Reno	Section	A	Fiorano				44.483333	11.283333	Ferrari et al. 2006
672	Italy	26	Catignano	Feature	9a	Catignano-Scaloria Bassa				42.34816	13.951307	Zamagni 2003, 203
669	Italy	11	Fiorano Modenese	undetermined	undetermined	Fiorano				44.536667	10.822778	Borrello and Micheli 2011, 27
581	Italy	18	Grotta dell' Orso	undetermined	undetermined	Early Neolithic/Middle Neolithic (norther Italy)				45.73264	13.72591	Micheli 2006, 441 Fig.4
492	Italy	14	Isorella-Cascina Bocche	Pit	undetermined	VHO				45.3092	10.3233	Perini et al. 1998
626	Italy	14	Isorella-Cascina Bocche	Pit	1	VHO				45.3092	10.3233	Starnini et al. 2000, 232-234 Fig. 2
490	Italy	13	Ostiano-Dugali Alti	Layer	undetermined	VHO				45.216667	10.25	Biagi 1995, 96
